geography_code,Year,Affordable Home Ownership,Affordable Rent,First Homes,Intermediate Rent,London Affordable Rent,Shared Ownership,Social Rent,Unknown,All afforable
E06000009,1995-96,17.0,,,,,,124.0,,141.0
E06000009,1996-97,27.0,,,,,,54.0,,81.0
E06000009,1997-98,25.0,,,,,,42.0,,67.0
E06000009,1998-99,6.0,,,,,,74.0,,80.0
E06000009,1999-00,27.0,,,,,,109.0,,136.0
E06000009,2000-01,1.0,,,,,,133.0,,134.0
E06000009,2001-02,,,,,,,56.0,,56.0
E06000009,2002-03,6.0,,,,,,67.0,,73.0
E06000009,2003-04,1.0,,,,,,57.0,,58.0
E06000009,2004-05,21.0,,,,,,86.0,,107.0
E06000009,2005-06,1.0,,,,,,111.0,,112.0
E06000009,2006-07,46.0,,,,,,26.0,,72.0
E06000009,2007-08,13.0,,,,,,50.0,,63.0
E06000009,2008-09,31.0,,,,,,31.0,,62.0
E06000009,2009-10,8.0,,,3.0,,,10.0,,21.0
E06000009,2010-11,57.0,,,5.0,,,171.0,,233.0
E06000009,2011-12,23.0,,,,,,20.0,,43.0
E06000009,2012-13,17.0,35.0,,,,,20.0,,72.0
E06000009,2013-14,1.0,53.0,,,,,,,54.0
E06000009,2014-15,1.0,136.0,,,,,,,137.0
E06000009,2015-16,,26.0,,,,,,,26.0
E06000009,2016-17,,35.0,,,,8.0,,,43.0
E06000009,2017-18,,23.0,,,,,,,23.0
E06000009,2018-19,,88.0,,,,5.0,,,93.0
E06000009,2019-20,,38.0,,,,24.0,1.0,,63.0
E06000009,2020-21,,53.0,,,,,,,53.0
E06000009,2021-22,,64.0,,,,,,,64.0
E06000009,2022-23,,58.0,,,,,,,58.0
E06000010,1991-92,3.0,,,,,,401.0,,404.0
E06000010,1992-93,14.0,,,,,,395.0,,409.0
E06000010,1993-94,77.0,,,,,,305.0,,382.0
E06000010,1994-95,64.0,,,,,,397.0,,461.0
E06000010,1995-96,139.0,,,,,,585.0,,724.0
E06000010,1996-97,76.0,,,,,,118.0,,194.0
E06000010,1997-98,64.0,,,,,,118.0,,182.0
E06000010,1998-99,4.0,,,,,,97.0,,101.0
E06000010,1999-00,3.0,,,,,,194.0,,197.0
E06000010,2000-01,,,,,,,118.0,,118.0
E06000010,2001-02,5.0,,,,,,75.0,,80.0
E06000010,2002-03,,,,,,,62.0,,62.0
E06000010,2003-04,,,,,,,44.0,,44.0
E06000010,2004-05,2.0,,,,,,14.0,,16.0
E06000010,2005-06,4.0,,,,,,14.0,,18.0
E06000010,2006-07,8.0,,,,,,51.0,,59.0
E06000010,2007-08,31.0,,,,,,94.0,,125.0
E06000010,2008-09,15.0,,,,,,68.0,,83.0
E06000010,2009-10,45.0,,,3.0,,,29.0,,77.0
E06000010,2010-11,63.0,,,11.0,,,178.0,,252.0
E06000010,2011-12,70.0,,,14.0,,,300.0,,384.0
E06000010,2012-13,70.0,72.0,,,,,42.0,,184.0
E06000010,2013-14,12.0,192.0,,,,,,,204.0
E06000010,2014-15,,319.0,,,,,7.0,,326.0
E06000010,2015-16,,125.0,,,,4.0,,,129.0
E06000010,2016-17,,154.0,,,,,,,154.0
E06000010,2017-18,,464.0,,,,15.0,,,479.0
E06000010,2018-19,,350.0,,,,22.0,1.0,,373.0
E06000010,2019-20,,113.0,,,,26.0,,,139.0
E06000010,2020-21,,138.0,,,,,2.0,,140.0
E06000010,2021-22,,118.0,,,,,6.0,,124.0
E06000010,2022-23,,72.0,22.0,,,2.0,21.0,,117.0
E06000011,1991-92,,,,,,,43.0,,43.0
E06000011,1992-93,,,,,,,124.0,,124.0
E06000011,1993-94,16.0,,,,,,121.0,,137.0
E06000011,1994-95,14.0,,,,,,252.0,,266.0
E06000011,1995-96,29.0,,,,,,157.0,,186.0
E06000011,1997-98,35.0,,,,,,89.0,,124.0
E06000011,1998-99,32.0,,,,,,99.0,,131.0
E06000011,1999-00,9.0,,,,,,88.0,,97.0
E06000011,2000-01,,,,,,,70.0,,70.0
E06000011,2001-02,,,,,,,71.0,,71.0
E06000011,2002-03,2.0,,,,,,40.0,,42.0
E06000011,2003-04,2.0,,,,,,98.0,,100.0
E06000011,2004-05,11.0,,,,,,43.0,,54.0
E06000011,2005-06,,,,,,,31.0,,31.0
E06000011,2006-07,9.0,,,,,,47.0,,56.0
E06000011,2007-08,22.0,,,,,,38.0,,60.0
E06000011,2008-09,26.0,,,,,,38.0,,64.0
E06000011,2009-10,37.0,,,1.0,,,4.0,,42.0
E06000011,2010-11,31.0,,,23.0,,,237.0,,291.0
E06000011,2011-12,33.0,4.0,,7.0,,,153.0,,197.0
E06000011,2012-13,64.0,23.0,,,,,88.0,,175.0
E06000011,2013-14,17.0,59.0,,,,,13.0,,89.0
E06000011,2014-15,1.0,160.0,,6.0,,,1.0,,168.0
E06000011,2015-16,13.0,67.0,,10.0,,,63.0,,153.0
E06000011,2016-17,5.0,116.0,,9.0,,8.0,32.0,,170.0
E06000011,2017-18,,157.0,,,,25.0,114.0,,296.0
E06000011,2018-19,,284.0,,2.0,,102.0,48.0,,436.0
E06000011,2019-20,12.0,203.0,,2.0,,100.0,20.0,,337.0
E06000011,2020-21,10.0,208.0,,4.0,,102.0,24.0,,348.0
E06000011,2021-22,2.0,210.0,,14.0,,111.0,57.0,,394.0
E06000011,2022-23,18.0,289.0,70.0,2.0,,149.0,56.0,,584.0
E06000012,1997-98,40.0,,,,,,117.0,,157.0
E06000012,1998-99,47.0,,,,,,61.0,,108.0
E06000012,1999-00,4.0,,,,,,59.0,,63.0
E06000012,2000-01,,,,,,,53.0,,53.0
E06000012,2001-02,,,,,,,88.0,,88.0
E06000012,2002-03,,,,,,,6.0,,6.0
E06000012,2003-04,,,,,,,6.0,,6.0
E06000012,2004-05,,,,,,,16.0,,16.0
E06000012,2005-06,5.0,,,,,,76.0,,81.0
E06000012,2006-07,40.0,,,,,,40.0,,80.0
E06000012,2007-08,,,,,,,1.0,,1.0
E06000012,2008-09,18.0,,,6.0,,,53.0,,77.0
E06000012,2009-10,64.0,,,,,,91.0,,155.0
E06000012,2010-11,78.0,,,3.0,,,92.0,,173.0
E06000012,2011-12,38.0,,,,,,88.0,,126.0
E06000012,2012-13,52.0,,,,,,32.0,,84.0
E06000012,2013-14,28.0,10.0,,,,,69.0,,107.0
E06000012,2014-15,7.0,3.0,,3.0,,8.0,42.0,,63.0
E06000012,2015-16,,11.0,,,,4.0,,,15.0
E06000012,2016-17,,5.0,,,,,,,5.0
E06000012,2017-18,,17.0,,,,3.0,6.0,,26.0
E06000012,2018-19,,8.0,,,,12.0,31.0,,51.0
E06000012,2019-20,,18.0,,,,,,,18.0
E06000012,2020-21,,60.0,,,,1.0,32.0,,93.0
E06000012,2021-22,,74.0,,,,9.0,28.0,,111.0
E06000013,1991-92,3.0,,,,,,34.0,,37.0
E06000013,1992-93,38.0,,,,,,272.0,,310.0
E06000013,1993-94,47.0,,,,,,337.0,,384.0
E06000013,1994-95,54.0,,,,,,299.0,,353.0
E06000013,1995-96,56.0,,,,,,86.0,,142.0
E06000013,1997-98,19.0,,,,,,6.0,,25.0
E06000013,1998-99,23.0,,,,,,81.0,,104.0
E06000013,1999-00,,,,,,,19.0,,19.0
E06000013,2000-01,,,,,,,51.0,,51.0
E06000013,2001-02,,,,,,,24.0,,24.0
E06000013,2002-03,,,,,,,17.0,,17.0
E06000013,2003-04,,,,,,,45.0,,45.0
E06000013,2004-05,4.0,,,,,,13.0,,17.0
E06000013,2005-06,6.0,,,,,,11.0,,17.0
E06000013,2006-07,24.0,,,,,,18.0,,42.0
E06000013,2007-08,8.0,,,,,,32.0,,40.0
E06000013,2008-09,17.0,,,,,,53.0,,70.0
E06000013,2009-10,18.0,,,1.0,,,84.0,,103.0
E06000013,2010-11,41.0,,,6.0,,,43.0,,90.0
E06000013,2011-12,41.0,,,,,,101.0,,142.0
E06000013,2012-13,41.0,3.0,,,,,10.0,,54.0
E06000013,2013-14,16.0,96.0,,,,,12.0,,124.0
E06000013,2014-15,1.0,106.0,,,,,26.0,,133.0
E06000013,2015-16,,65.0,,3.0,,,3.0,,71.0
E06000013,2016-17,,39.0,,,,10.0,10.0,,59.0
E06000013,2017-18,9.0,52.0,,,,,8.0,,69.0
E06000013,2018-19,4.0,69.0,,,,4.0,17.0,,94.0
E06000013,2019-20,,91.0,,,,22.0,,,113.0
E06000013,2020-21,2.0,135.0,,,,23.0,,,160.0
E06000013,2021-22,3.0,108.0,,,,5.0,,,116.0
E06000013,2022-23,19.0,25.0,,,,24.0,,,68.0
E06000014,1991-92,2.0,,,,,,59.0,,61.0
E06000014,1992-93,12.0,,,,,,74.0,,86.0
E06000014,1993-94,31.0,,,,,,73.0,,104.0
E06000014,1994-95,19.0,,,,,,30.0,,49.0
E06000014,1995-96,51.0,,,,,,152.0,,203.0
E06000014,1996-97,54.0,,,,,,83.0,,137.0
E06000014,1997-98,33.0,,,,,,109.0,,142.0
E06000014,1998-99,13.0,,,,,,13.0,,26.0
E06000014,1999-00,23.0,,,,,,160.0,,183.0
E06000014,2000-01,42.0,,,,,,146.0,,188.0
E06000014,2001-02,23.0,,,,,,138.0,,161.0
E06000014,2002-03,7.0,,,,,,85.0,,92.0
E06000014,2003-04,55.0,,,,,,128.0,,183.0
E06000014,2004-05,46.0,,,,,,174.0,,220.0
E06000014,2005-06,45.0,,,,,,173.0,,218.0
E06000014,2006-07,27.0,,,,,,40.0,,67.0
E06000014,2007-08,15.0,,,,,,30.0,,45.0
E06000014,2008-09,52.0,,,4.0,,,114.0,,170.0
E06000014,2009-10,51.0,,,3.0,,,63.0,,117.0
E06000014,2010-11,116.0,,,7.0,,,143.0,,266.0
E06000014,2011-12,23.0,39.0,,36.0,,,57.0,,155.0
E06000014,2012-13,43.0,,,22.0,,,64.0,,129.0
E06000014,2013-14,22.0,29.0,,,,,24.0,,75.0
E06000014,2014-15,11.0,48.0,,3.0,,18.0,48.0,,128.0
E06000014,2015-16,26.0,,,,,6.0,68.0,,100.0
E06000014,2016-17,7.0,41.0,,,,26.0,62.0,,136.0
E06000014,2017-18,5.0,19.0,,,,9.0,36.0,,69.0
E06000014,2018-19,,,,,,20.0,36.0,,56.0
E06000014,2019-20,7.0,,,,,29.0,93.0,,129.0
E06000014,2020-21,6.0,57.0,,,,28.0,73.0,,164.0
E06000014,2021-22,11.0,,,,,54.0,115.0,,180.0
E06000014,2022-23,,43.0,4.0,,,71.0,43.0,,161.0
E06000015,1991-92,24.0,,,,,,136.0,,160.0
E06000015,1992-93,59.0,,,,,,160.0,,219.0
E06000015,1993-94,50.0,,,,,,258.0,,308.0
E06000015,1994-95,58.0,,,,,,294.0,,352.0
E06000015,1995-96,106.0,,,,,,286.0,,392.0
E06000015,1996-97,98.0,,,,,,220.0,,318.0
E06000015,1997-98,101.0,,,,,,232.0,,333.0
E06000015,1998-99,41.0,,,,,,206.0,,247.0
E06000015,1999-00,39.0,,,,,,236.0,,275.0
E06000015,2000-01,3.0,,,,,,90.0,,93.0
E06000015,2001-02,8.0,,,,,,134.0,,142.0
E06000015,2002-03,13.0,,,,,,76.0,,89.0
E06000015,2003-04,34.0,,,,,,67.0,,101.0
E06000015,2004-05,105.0,,,,,,62.0,,167.0
E06000015,2005-06,100.0,,,,,,106.0,,206.0
E06000015,2006-07,55.0,,,,,,127.0,,182.0
E06000015,2007-08,46.0,,,,,,80.0,,126.0
E06000015,2008-09,75.0,,,,,,131.0,,206.0
E06000015,2009-10,57.0,,,1.0,,,81.0,,139.0
E06000015,2010-11,61.0,,,10.0,,,211.0,,282.0
E06000015,2011-12,35.0,,,,,,54.0,,89.0
E06000015,2012-13,65.0,32.0,,,,,80.0,,177.0
E06000015,2013-14,11.0,44.0,,,,,76.0,,131.0
E06000015,2014-15,7.0,144.0,,,,8.0,152.0,,311.0
E06000015,2015-16,,11.0,,,,,24.0,,35.0
E06000015,2016-17,,169.0,,,,4.0,6.0,,179.0
E06000015,2017-18,,93.0,,,,8.0,,,101.0
E06000015,2018-19,,134.0,,,,50.0,2.0,,186.0
E06000015,2019-20,,141.0,,,,36.0,102.0,,279.0
E06000015,2020-21,,180.0,,,,31.0,15.0,,226.0
E06000015,2021-22,,69.0,,,,80.0,9.0,,158.0
E06000015,2022-23,,40.0,3.0,,,25.0,15.0,,83.0
E06000016,1991-92,45.0,,,,,,219.0,,264.0
E06000016,1992-93,117.0,,,,,,387.0,,504.0
E06000016,1993-94,176.0,,,,,,332.0,,508.0
E06000016,1994-95,172.0,,,,,,427.0,,599.0
E06000016,1995-96,151.0,,,,,,372.0,,523.0
E06000016,1996-97,130.0,,,,,,370.0,,500.0
E06000016,1997-98,101.0,,,,,,295.0,,396.0
E06000016,1998-99,70.0,,,,,,325.0,,395.0
E06000016,1999-00,59.0,,,,,,264.0,,323.0
E06000016,2000-01,47.0,,,,,,122.0,,169.0
E06000016,2001-02,43.0,,,,,,142.0,,185.0
