geography_code,Year,Affordable Home Ownership,Affordable Rent,First Homes,Intermediate Rent,London Affordable Rent,Shared Ownership,Social Rent,Unknown,All afforable
E06000001,1991-92,13.0,,,,,,134.0,,147.0
E06000001,1992-93,29.0,,,,,,204.0,,233.0
E06000001,1993-94,20.0,,,,,,123.0,,143.0
E06000001,1994-95,22.0,,,,,,149.0,,171.0
E06000001,1995-96,23.0,,,,,,134.0,,157.0
E06000001,1996-97,31.0,,,,,,109.0,,140.0
E06000001,1997-98,51.0,,,,,,42.0,,93.0
E06000001,1998-99,1.0,,,,,,56.0,,57.0
E06000001,1999-00,,,,,,,21.0,,21.0
E06000001,2000-01,,,,,,,23.0,,23.0
E06000001,2001-02,1.0,,,,,,7.0,,8.0
E06000001,2002-03,1.0,,,,,,,,1.0
E06000001,2003-04,14.0,,,,,,14.0,,28.0
E06000001,2004-05,2.0,,,,,,14.0,,16.0
E06000001,2005-06,1.0,,,,,,,,1.0
E06000001,2006-07,,,,,,,10.0,,10.0
E06000001,2007-08,24.0,,,,,,43.0,,67.0
E06000001,2008-09,42.0,,,,,,29.0,,71.0
E06000001,2009-10,73.0,,,1.0,,,89.0,,163.0
E06000001,2010-11,30.0,,,24.0,,,104.0,,158.0
E06000001,2011-12,65.0,4.0,,10.0,,,71.0,,150.0
E06000001,2012-13,60.0,59.0,,,,,,,119.0
E06000001,2013-14,16.0,50.0,,,,,,,66.0
E06000001,2014-15,1.0,65.0,,7.0,,11.0,32.0,,116.0
E06000001,2015-16,,101.0,,,,4.0,,,105.0
E06000001,2016-17,1.0,31.0,,,,,17.0,,49.0
E06000001,2017-18,,20.0,,,,,18.0,,38.0
E06000001,2018-19,,68.0,,,,44.0,5.0,,117.0
E06000001,2019-20,,71.0,,,,15.0,,,86.0
E06000001,2020-21,,18.0,,,,,2.0,,20.0
E06000001,2021-22,,109.0,,3.0,,59.0,,,171.0
E06000001,2022-23,,56.0,,,,28.0,,,84.0
E06000002,1991-92,31.0,,,,,,123.0,,154.0
E06000002,1992-93,68.0,,,,,,320.0,,388.0
E06000002,1993-94,71.0,,,,,,264.0,,335.0
E06000002,1994-95,71.0,,,,,,182.0,,253.0
E06000002,1995-96,146.0,,,,,,80.0,,226.0
E06000002,1996-97,49.0,,,,,,58.0,,107.0
E06000002,1997-98,29.0,,,,,,101.0,,130.0
E06000002,1998-99,37.0,,,,,,74.0,,111.0
E06000002,1999-00,,,,,,,96.0,,96.0
E06000002,2000-01,2.0,,,,,,52.0,,54.0
E06000002,2001-02,1.0,,,,,,27.0,,28.0
E06000002,2002-03,6.0,,,,,,19.0,,25.0
E06000002,2003-04,13.0,,,,,,8.0,,21.0
E06000002,2004-05,2.0,,,,,,45.0,,47.0
E06000002,2005-06,4.0,,,,,,9.0,,13.0
E06000002,2006-07,30.0,,,,,,94.0,,124.0
E06000002,2007-08,3.0,,,,,,60.0,,63.0
E06000002,2008-09,34.0,,,,,,72.0,,106.0
E06000002,2009-10,39.0,,,31.0,,,132.0,,202.0
E06000002,2010-11,26.0,,,70.0,,,124.0,,220.0
E06000002,2011-12,20.0,,,,,,51.0,,71.0
E06000002,2012-13,44.0,30.0,,,,,23.0,,97.0
E06000002,2013-14,14.0,60.0,,,,,25.0,,99.0
E06000002,2014-15,8.0,246.0,,,,27.0,1.0,,282.0
E06000002,2015-16,,73.0,,,,14.0,,,87.0
E06000002,2016-17,7.0,46.0,,,,,,,53.0
E06000002,2017-18,,31.0,,,,,,,31.0
E06000002,2018-19,,20.0,,,,13.0,7.0,,40.0
E06000002,2019-20,,105.0,,10.0,,16.0,1.0,,132.0
E06000002,2020-21,,38.0,,,,12.0,,,50.0
E06000002,2021-22,6.0,152.0,,,,8.0,,,166.0
E06000002,2022-23,3.0,118.0,,,,47.0,,,168.0
E06000003,1991-92,3.0,,,,,,111.0,,114.0
E06000003,1992-93,19.0,,,,,,66.0,,85.0
E06000003,1993-94,59.0,,,,,,111.0,,170.0
E06000003,1994-95,52.0,,,,,,89.0,,141.0
E06000003,1995-96,39.0,,,,,,60.0,,99.0
E06000003,1996-97,71.0,,,,,,85.0,,156.0
E06000003,1997-98,42.0,,,,,,84.0,,126.0
E06000003,1998-99,14.0,,,,,,16.0,,30.0
E06000003,1999-00,23.0,,,,,,65.0,,88.0
E06000003,2000-01,6.0,,,,,,62.0,,68.0
E06000003,2001-02,14.0,,,,,,41.0,,55.0
E06000003,2002-03,3.0,,,,,,12.0,,15.0
E06000003,2003-04,1.0,,,,,,70.0,,71.0
E06000003,2004-05,11.0,,,,,,2.0,,13.0
E06000003,2005-06,,,,,,,22.0,,22.0
E06000003,2006-07,16.0,,,,,,52.0,,68.0
E06000003,2007-08,16.0,,,,,,9.0,,25.0
E06000003,2008-09,27.0,,,,,,132.0,,159.0
E06000003,2009-10,28.0,,,,,,50.0,,78.0
E06000003,2010-11,21.0,,,16.0,,,103.0,,140.0
E06000003,2011-12,63.0,16.0,,,,,98.0,,177.0
E06000003,2012-13,44.0,44.0,,,,,28.0,,116.0
E06000003,2013-14,43.0,75.0,,,,,32.0,,150.0
E06000003,2014-15,18.0,190.0,,,,20.0,11.0,,239.0
E06000003,2015-16,5.0,26.0,,,,,67.0,,98.0
E06000003,2016-17,3.0,187.0,,,,7.0,,,197.0
E06000003,2017-18,11.0,53.0,,,,14.0,,,78.0
E06000003,2018-19,,121.0,,,,39.0,,,160.0
E06000003,2019-20,,48.0,,,,34.0,12.0,,94.0
E06000003,2020-21,,69.0,,,,19.0,,,88.0
E06000003,2021-22,16.0,88.0,,,,23.0,,,127.0
E06000003,2022-23,,137.0,10.0,,,16.0,,,163.0
E06000004,1991-92,11.0,,,,,,110.0,,121.0
E06000004,1992-93,20.0,,,,,,112.0,,132.0
E06000004,1993-94,74.0,,,,,,65.0,,139.0
E06000004,1994-95,102.0,,,,,,167.0,,269.0
E06000004,1995-96,63.0,,,,,,49.0,,112.0
E06000004,1996-97,70.0,,,,,,127.0,,197.0
E06000004,1997-98,22.0,,,,,,100.0,,122.0
E06000004,1998-99,4.0,,,,,,,,4.0
E06000004,1999-00,10.0,,,,,,48.0,,58.0
E06000004,2000-01,,,,,,,57.0,,57.0
E06000004,2001-02,,,,,,,110.0,,110.0
E06000004,2003-04,,,,,,,19.0,,19.0
E06000004,2004-05,1.0,,,,,,60.0,,61.0
E06000004,2005-06,4.0,,,,,,117.0,,121.0
E06000004,2006-07,11.0,,,,,,87.0,,98.0
E06000004,2007-08,17.0,,,,,,95.0,,112.0
E06000004,2008-09,48.0,,,,,,135.0,,183.0
E06000004,2009-10,104.0,,,2.0,,,106.0,,212.0
E06000004,2010-11,102.0,,,33.0,,,84.0,,219.0
E06000004,2011-12,70.0,4.0,,2.0,,,62.0,,138.0
E06000004,2012-13,143.0,62.0,,3.0,,,42.0,,250.0
E06000004,2013-14,19.0,77.0,,,,,14.0,,110.0
E06000004,2014-15,5.0,74.0,,,,14.0,8.0,,101.0
E06000004,2015-16,,73.0,,,,7.0,12.0,,92.0
E06000004,2016-17,,129.0,,,,,,,129.0
E06000004,2017-18,2.0,100.0,,,,31.0,11.0,,144.0
E06000004,2018-19,2.0,131.0,,,,103.0,5.0,,241.0
E06000004,2019-20,7.0,197.0,,18.0,,135.0,2.0,,359.0
E06000004,2020-21,,47.0,,23.0,,41.0,,,111.0
E06000004,2021-22,4.0,57.0,,8.0,,32.0,14.0,,115.0
E06000004,2022-23,,15.0,18.0,,,37.0,,,70.0
E06000005,1991-92,2.0,,,,,,50.0,,52.0
E06000005,1992-93,,,,,,,102.0,,102.0
E06000005,1993-94,16.0,,,,,,16.0,,32.0
E06000005,1994-95,16.0,,,,,,84.0,,100.0
E06000005,1995-96,30.0,,,,,,57.0,,87.0
E06000005,1996-97,10.0,,,,,,59.0,,69.0
E06000005,1997-98,11.0,,,,,,41.0,,52.0
E06000005,1998-99,14.0,,,,,,12.0,,26.0
E06000005,1999-00,12.0,,,,,,57.0,,69.0
E06000005,2000-01,18.0,,,,,,34.0,,52.0
E06000005,2001-02,,,,,,,58.0,,58.0
E06000005,2002-03,,,,,,,53.0,,53.0
E06000005,2003-04,,,,,,,55.0,,55.0
E06000005,2004-05,13.0,,,,,,38.0,,51.0
E06000005,2005-06,9.0,,,,,,17.0,,26.0
E06000005,2006-07,17.0,,,,,,49.0,,66.0
E06000005,2007-08,2.0,,,,,,7.0,,9.0
E06000005,2008-09,3.0,,,,,,7.0,,10.0
E06000005,2009-10,19.0,,,1.0,,,47.0,,67.0
E06000005,2010-11,23.0,,,8.0,,,47.0,,78.0
E06000005,2011-12,13.0,,,69.0,,,66.0,,148.0
E06000005,2012-13,20.0,26.0,,,,,,,46.0
E06000005,2013-14,11.0,79.0,,,,,,,90.0
E06000005,2014-15,3.0,268.0,,,,19.0,,,290.0
E06000005,2015-16,,45.0,,,,14.0,,,59.0
E06000005,2016-17,,81.0,,,,,22.0,,103.0
E06000005,2017-18,,62.0,,,,16.0,,,78.0
E06000005,2018-19,,209.0,,,,25.0,,,234.0
E06000005,2019-20,6.0,68.0,,,,53.0,,,127.0
E06000005,2020-21,3.0,110.0,,,,24.0,,,137.0
E06000005,2021-22,19.0,13.0,,,,37.0,7.0,,76.0
E06000005,2022-23,4.0,58.0,,,,5.0,,,67.0
E06000006,1991-92,1.0,,,,,,94.0,,95.0
E06000006,1992-93,14.0,,,,,,412.0,,426.0
E06000006,1993-94,53.0,,,,,,129.0,,182.0
E06000006,1994-95,62.0,,,,,,115.0,,177.0
E06000006,1995-96,36.0,,,,,,151.0,,187.0
E06000006,1996-97,45.0,,,,,,139.0,,184.0
E06000006,1997-98,21.0,,,,,,86.0,,107.0
E06000006,1998-99,14.0,,,,,,78.0,,92.0
E06000006,1999-00,1.0,,,,,,81.0,,82.0
E06000006,2000-01,2.0,,,,,,2.0,,4.0
E06000006,2001-02,1.0,,,,,,24.0,,25.0
E06000006,2002-03,,,,,,,11.0,,11.0
E06000006,2003-04,1.0,,,,,,126.0,,127.0
E06000006,2004-05,3.0,,,,,,95.0,,98.0
E06000006,2005-06,31.0,,,,,,62.0,,93.0
E06000006,2006-07,11.0,,,,,,45.0,,56.0
E06000006,2007-08,38.0,,,,,,93.0,,131.0
E06000006,2008-09,5.0,,,,,,74.0,,79.0
E06000006,2009-10,17.0,,,2.0,,,122.0,,141.0
E06000006,2010-11,42.0,,,7.0,,,117.0,,166.0
E06000006,2011-12,19.0,,,,,,173.0,,192.0
E06000006,2012-13,44.0,48.0,,,,,84.0,,176.0
E06000006,2013-14,6.0,64.0,,,,,,,70.0
E06000006,2014-15,2.0,149.0,,,,,,,151.0
E06000006,2015-16,,140.0,,,,12.0,,,152.0
E06000006,2016-17,,137.0,,,,,152.0,,289.0
E06000006,2017-18,,269.0,,,,10.0,92.0,,371.0
E06000006,2018-19,,51.0,,,,32.0,29.0,,112.0
E06000006,2019-20,,10.0,,,,51.0,75.0,,136.0
E06000006,2020-21,,33.0,,,,65.0,26.0,,124.0
E06000006,2021-22,,25.0,,,,,,,25.0
E06000006,2022-23,,89.0,8.0,,,78.0,79.0,,254.0
E06000007,1991-92,1.0,,,,,,80.0,,81.0
E06000007,1992-93,9.0,,,,,,117.0,,126.0
E06000007,1993-94,60.0,,,,,,65.0,,125.0
E06000007,1994-95,96.0,,,,,,120.0,,216.0
E06000007,1995-96,72.0,,,,,,86.0,,158.0
E06000007,1996-97,46.0,,,,,,95.0,,141.0
E06000007,1997-98,34.0,,,,,,25.0,,59.0
E06000007,1998-99,19.0,,,,,,24.0,,43.0
E06000007,1999-00,1.0,,,,,,55.0,,56.0
E06000007,2000-01,,,,,,,15.0,,15.0
E06000007,2001-02,55.0,,,,,,62.0,,117.0
E06000007,2002-03,30.0,,,,,,181.0,,211.0
E06000007,2003-04,83.0,,,,,,18.0,,101.0
E06000007,2004-05,43.0,,,,,,1.0,,44.0
E06000007,2005-06,80.0,,,,,,98.0,,178.0
E06000007,2006-07,46.0,,,,,,166.0,,212.0
E06000007,2007-08,199.0,,,,,,159.0,,358.0
E06000007,2008-09,136.0,,,,,,94.0,,230.0
E06000007,2009-10,28.0,,,3.0,,,107.0,,138.0
E06000007,2010-11,100.0,,,23.0,,,180.0,,303.0
E06000007,2011-12,77.0,,,,,,110.0,,187.0
E06000007,2012-13,105.0,25.0,,4.0,,,93.0,,227.0
E06000007,2013-14,22.0,187.0,,,,,3.0,,212.0
E06000007,2014-15,20.0,89.0,,,,,3.0,,112.0
E06000007,2015-16,4.0,92.0,,,,17.0,36.0,,149.0
E06000007,2016-17,,33.0,,,,30.0,9.0,,72.0
E06000007,2017-18,,24.0,,,,14.0,5.0,,43.0
E06000007,2018-19,,70.0,,,,18.0,12.0,,100.0
E06000007,2019-20,,8.0,,,,,14.0,,22.0
E06000007,2020-21,,67.0,,,,68.0,17.0,,152.0
E06000007,2021-22,,12.0,,7.0,,87.0,9.0,,115.0
E06000007,2022-23,,124.0,,42.0,,252.0,31.0,,449.0
E06000008,1991-92,11.0,,,,,,76.0,,87.0
E06000008,1992-93,24.0,,,,,,255.0,,279.0
E06000008,1993-94,116.0,,,,,,95.0,,211.0
E06000008,1994-95,107.0,,,,,,177.0,,284.0
E06000008,1995-96,90.0,,,,,,93.0,,183.0
E06000008,1996-97,32.0,,,,,,155.0,,187.0
E06000008,1997-98,43.0,,,,,,142.0,,185.0
E06000008,1998-99,19.0,,,,,,45.0,,64.0
E06000008,1999-00,5.0,,,,,,37.0,,42.0
E06000008,2000-01,11.0,,,,,,41.0,,52.0
E06000008,2001-02,,,,,,,56.0,,56.0
E06000008,2002-03,,,,,,,88.0,,88.0
E06000008,2003-04,15.0,,,,,,16.0,,31.0
E06000008,2004-05,24.0,,,,,,44.0,,68.0
E06000008,2005-06,24.0,,,,,,56.0,,80.0
E06000008,2006-07,54.0,,,,,,118.0,,172.0
E06000008,2007-08,53.0,,,,,,104.0,,157.0
E06000008,2008-09,38.0,,,,,,33.0,,71.0
E06000008,2009-10,103.0,,,3.0,,,69.0,,175.0
E06000008,2010-11,29.0,,,7.0,,,97.0,,133.0
E06000008,2011-12,34.0,,,,,,11.0,,45.0
E06000008,2012-13,40.0,60.0,,,,,27.0,,127.0
E06000008,2013-14,41.0,24.0,,,,,,,65.0
E06000008,2014-15,,97.0,,,,13.0,,,110.0
E06000008,2016-17,,50.0,,,,,,,50.0
E06000008,2017-18,,59.0,,,,,,,59.0
E06000008,2018-19,,174.0,,,,,,,174.0
E06000008,2019-20,,16.0,,,,,,,16.0
E06000008,2020-21,,,,,,,3.0,,3.0
E06000008,2021-22,,189.0,,,,15.0,,,204.0
E06000008,2022-23,,27.0,,,,22.0,,,49.0
E06000009,1991-92,,,,,,,74.0,,74.0
E06000009,1992-93,1.0,,,,,,160.0,,161.0
E06000009,1993-94,16.0,,,,,,81.0,,97.0
E06000009,1994-95,16.0,,,,,,106.0,,122.0
