AreaCode,Year,AllVacants,Dwellings,HouseholdProjection,LongTermVacants
E06000001,2004,1925.0,40407.0,38156.0,1138.0
E06000001,2005,1846.0,40626.0,38386.0,1051.0
E06000001,2006,1925.0,40869.0,38621.0,664.0
E06000001,2007,1725.0,41113.0,38876.0,607.0
E06000001,2008,1808.0,40963.0,39199.0,789.0
E06000001,2009,1879.0,41450.0,39458.0,859.0
E06000001,2010,1889.0,41770.0,39774.0,889.0
E06000001,2011,1986.0,42102.0,40152.0,789.0
E06000001,2012,1976.0,42292.0,40388.0,780.0
E06000001,2013,1513.0,42371.0,40745.0,762.0
E06000001,2014,1554.0,42420.0,40939.0,727.0
E06000001,2015,1718.0,42761.0,41033.0,727.0
E06000001,2016,1769.0,43254.0,41221.0,732.0
E06000001,2017,1905.0,43404.0,41436.0,472.0
E06000001,2018,2019.0,43634.0,41696.0,726.0
E06000001,2019,2078.0,43970.0,41907.0,779.0
E06000001,2020,2098.0,44190.0,42077.0,1061.0
E06000001,2021,1765.0,44316.0,42242.0,828.0
E06000001,2022,1763.0,44671.0,42383.0,847.0
E06000001,2023,1801.0,45179.0,42491.0,633.0
E06000002,2004,2833.0,58698.0,56561.0,1374.0
E06000002,2005,2497.0,58851.0,56619.0,1390.0
E06000002,2006,2728.0,58946.0,56568.0,1457.0
E06000002,2007,2779.0,59364.0,56556.0,1462.0
E06000002,2008,2716.0,59639.0,56496.0,1380.0
E06000002,2009,2428.0,59592.0,56296.0,993.0
E06000002,2010,2401.0,59705.0,56344.0,819.0
E06000002,2011,2512.0,59956.0,56755.0,740.0
E06000002,2012,2560.0,60049.0,56804.0,787.0
E06000002,2013,2246.0,60302.0,56805.0,626.0
E06000002,2014,2328.0,60441.0,56825.0,577.0
E06000002,2015,2361.0,61086.0,56799.0,689.0
E06000002,2016,2504.0,61610.0,57133.0,785.0
E06000002,2017,2842.0,62113.0,57217.0,944.0
E06000002,2018,2581.0,62487.0,57162.0,1016.0
E06000002,2019,2727.0,62997.0,57147.0,1163.0
E06000002,2020,2873.0,63609.0,57078.0,1501.0
E06000002,2021,2879.0,64033.0,57009.0,1375.0
E06000002,2022,2679.0,64633.0,57020.0,1254.0
E06000002,2023,2819.0,65236.0,57032.0,1294.0
E06000003,2004,2225.0,60303.0,57859.0,1248.0
E06000003,2005,2425.0,60623.0,58033.0,1211.0
E06000003,2006,2467.0,60767.0,58168.0,1053.0
E06000003,2007,2468.0,61145.0,58299.0,1046.0
E06000003,2008,2196.0,61337.0,58452.0,976.0
E06000003,2009,2472.0,61625.0,58564.0,1097.0
E06000003,2010,2582.0,61764.0,58796.0,1156.0
E06000003,2011,2564.0,61899.0,59264.0,1046.0
E06000003,2012,2422.0,62208.0,59574.0,1010.0
E06000003,2013,2402.0,62286.0,59748.0,723.0
E06000003,2014,2374.0,62537.0,60156.0,1026.0
