PCON24CD,Other tenure,Owned outright,Owned with a mortgage or loan,Private rented,Social rented
E14001218,0.7,38.9,33.3,16.7,10.5
E14001219,0.7,35.8,23.9,26.6,13.0
E14001220,1.9,36.2,35.5,13.8,12.6
E14001221,1.1,25.8,24.1,29.8,19.2
E14001222,1.0,33.2,33.1,14.9,17.8
E14001223,1.5,26.2,31.6,16.4,24.3
E14001224,1.6,36.4,31.8,16.6,13.6
E14001225,1.6,23.9,27.1,27.7,19.8
E14001226,0.8,33.4,34.8,15.5,15.5
E14001227,1.2,36.5,36.5,16.2,9.7
E14001228,0.6,35.6,32.3,18.0,13.5
E14001229,2.0,16.8,24.5,25.4,31.4
E14001230,1.2,33.7,38.7,16.1,10.2
E14001231,0.9,29.5,24.3,28.0,17.3
E14001232,2.0,40.2,29.7,16.2,11.9
E14001233,1.1,41.6,32.8,13.1,11.4
E14001234,1.3,37.3,35.2,13.9,12.4
E14001235,1.7,36.5,33.3,12.8,15.7
E14001236,2.7,20.3,25.0,27.4,24.5
E14001237,1.4,30.6,36.9,20.3,10.7
E14001238,0.8,26.9,23.3,38.3,10.8
E14001239,0.8,38.3,25.1,24.2,11.5
E14001240,0.9,44.5,28.5,13.4,12.7
E14001241,1.0,39.9,31.2,15.8,12.1
E14001242,0.8,44.0,28.7,18.8,7.8
E14001243,1.0,41.5,28.8,17.8,10.9
E14001244,0.6,29.1,26.4,19.7,24.2
E14001245,0.6,39.0,33.9,16.5,10.1
E14001246,1.1,33.7,32.6,21.8,10.7
E14001247,1.3,43.4,25.9,16.7,12.7
E14001248,1.3,29.8,31.5,22.4,15.0
E14001249,1.4,38.1,34.0,14.1,12.4
E14001250,0.6,41.1,33.3,16.1,8.9
E14001251,1.0,23.9,25.4,24.5,25.1
E14001252,1.3,37.2,29.2,17.5,14.8
W07000097,0.5,44.1,31.7,12.4,11.3
E14001253,1.0,37.3,30.4,18.5,12.7
E14001254,1.3,31.2,31.0,19.1,17.4
E14001255,0.6,30.9,26.0,27.2,15.4
E14001256,0.5,38.1,23.7,21.5,16.2
E14001257,3.3,11.3,22.7,30.6,32.2
E14001258,1.5,33.0,30.3,21.9,13.2
E14001259,1.8,12.0,16.9,32.2,37.1
E14001260,3.3,7.7,13.2,31.2,44.6
E14001261,0.7,36.4,30.7,14.2,18.0
E14001262,0.4,31.7,28.6,22.5,16.9
E14001263,1.7,36.5,38.0,14.1,9.7
E14001264,1.5,17.7,18.3,36.0,26.5
E14001265,0.9,19.9,17.5,38.6,23.0
E14001266,1.4,41.6,32.9,15.5,8.6
E14001267,1.4,25.9,31.5,15.2,26.1
E14001268,0.5,39.2,36.2,12.9,11.3
E14001269,1.0,39.0,30.5,19.5,10.0
E14001270,1.3,33.3,27.3,27.8,10.3
E14001271,1.6,24.4,27.5,34.8,11.7
E14001272,0.8,31.2,27.0,17.5,23.5
E14001273,0.6,41.8,30.4,17.2,10.0
E14001274,0.6,33.9,24.6,26.7,14.2
E14001275,1.0,37.7,28.3,12.6,20.4
E14001276,1.8,20.1,26.7,31.3,20.0
E14001277,1.3,41.0,33.9,11.6,12.2
E14001278,0.8,26.8,32.0,15.1,25.3
E14001279,1.8,20.7,23.9,35.4,18.1
E14001280,1.1,41.6,30.9,15.3,11.1
E14001281,1.0,38.8,24.9,19.5,15.9
E14001282,0.9,43.4,28.7,18.2,8.8
E14001283,1.6,32.6,35.3,17.6,12.9
E14001284,1.1,32.1,33.1,16.8,16.8
E14001285,0.6,42.5,27.3,15.5,14.1
E14001286,0.7,30.5,30.1,17.5,21.2
E14001287,0.8,40.1,30.8,16.1,12.2
E14001288,0.9,39.0,34.6,14.9,10.6
E14001289,1.7,32.5,36.0,15.1,14.7
E14001290,1.2,12.6,10.7,32.2,43.3
E14001291,1.3,48.9,23.8,15.9,10.1
E14001292,0.8,36.1,34.6,13.0,15.5
E14001293,1.4,22.3,26.8,33.9,15.6
E14001294,1.9,35.9,34.8,15.6,11.7
E14001295,0.4,31.6,28.3,11.6,28.1
E14001296,0.8,25.8,29.2,33.1,11.0
E14001297,0.7,30.9,25.4,24.1,18.9
E14001298,1.5,36.0,32.4,17.5,12.6
E14001299,0.3,34.3,29.0,22.8,13.7
E14001300,1.3,28.1,32.2,27.2,11.2
E14001301,1.4,21.9,25.9,36.9,13.9
E14001302,0.8,27.0,26.4,25.1,20.7
E14001303,0.7,46.0,21.4,21.7,10.2
E14001304,1.0,42.6,25.3,19.6,11.6
E14001305,1.8,12.1,17.1,31.3,37.7
E14001306,2.3,11.1,13.5,31.2,42.0
E14001307,0.4,27.2,26.9,12.1,33.5
E14001308,0.7,38.9,30.5,19.8,10.1
E14001309,1.5,42.4,33.2,12.5,10.4
E14001310,1.2,18.7,11.5,42.5,26.0
E14001311,1.6,32.1,33.3,19.6,13.4
E14001312,0.8,26.5,32.6,28.3,11.8
E14001313,0.9,24.6,26.3,17.8,30.3
E14001314,0.6,26.3,26.1,25.0,22.0
E14001315,0.9,29.3,27.7,22.7,19.4
E14001316,0.5,46.9,31.0,10.5,11.0
E14001317,1.0,26.7,29.3,15.5,27.5
E14001318,1.3,38.8,28.2,20.2,11.5
E14001319,0.7,15.2,16.7,44.8,22.6
E14001320,0.9,28.0,28.5,16.6,26.0
E14001321,0.6,31.9,32.3,18.8,16.4
E14001322,0.8,39.1,35.6,12.6,11.9
E14001323,1.0,16.8,19.7,30.3,32.2
E14001324,0.7,31.3,36.1,17.0,15.0
E14001325,0.8,25.8,31.0,20.5,21.9
E14001326,1.0,28.6,26.1,24.3,20.1
E14001327,0.5,24.3,18.3,34.8,22.2
E14001328,0.9,21.6,21.9,29.1,26.6
E14001329,0.9,31.9,31.4,18.3,17.5
E14001330,0.9,45.2,28.0,16.3,9.6
E14001331,1.2,18.0,28.6,24.4,27.7
E14001332,2.5,11.1,21.4,31.7,33.2
E14001333,1.0,18.3,32.1,25.0,23.6
E14001334,1.2,21.8,26.3,31.9,18.7
E14001335,1.0,41.9,31.7,12.7,12.7
E14001336,1.2,27.4,25.5,26.4,19.5
E14001337,1.0,32.7,29.7,13.8,22.7
E14001338,1.0,12.7,11.2,38.1,37.0
E14001339,0.7,26.6,25.9,19.7,27.1
E14001340,0.7,25.1,23.1,31.2,19.8
E14001341,0.5,29.1,28.0,20.9,21.4
W07000098,0.4,40.5,28.6,14.7,15.7
E14001342,1.1,35.0,28.9,20.9,14.2
E14001343,1.1,47.3,22.8,18.4,10.5
E14001344,0.5,40.7,24.6,19.9,14.3
E14001345,0.7,31.2,32.8,19.6,15.7
E14001346,0.7,23.5,24.8,34.7,16.2
E14001347,0.8,40.4,32.1,15.0,11.7
E14001348,1.2,34.8,35.2,18.2,10.7
E14001349,2.0,29.9,33.9,20.3,13.9
E14001350,0.4,38.1,34.4,13.5,13.6
E14001351,0.8,43.4,33.7,11.7,10.3
E14001352,0.8,14.7,18.9,40.8,24.9
E14001353,0.8,11.0,14.5,39.4,34.3
E14001354,0.6,22.6,27.7,34.0,15.0
E14001355,0.7,35.3,28.7,19.1,16.2
E14001356,1.0,41.0,30.1,13.0,14.9
E14001357,1.3,40.2,32.5,16.0,10.1
E14001358,0.8,38.0,30.7,13.2,17.3
W07000099,0.3,36.6,27.6,16.1,19.4
E14001359,2.5,34.3,39.8,11.8,11.5
E14001360,1.4,38.8,36.3,12.8,10.6
E14001361,1.8,33.2,34.2,15.3,15.5
E14001362,0.7,45.6,33.0,12.9,7.8
E14001363,0.8,44.6,31.1,13.1,10.4
E14001364,0.8,41.7,37.2,13.0,7.3
E14001365,0.8,42.5,28.2,16.8,11.6
E14001366,1.4,35.8,36.1,15.4,11.3
W07000100,0.3,42.4,23.0,16.6,17.6
E14001368,0.7,36.5,29.4,14.3,19.0
E14001367,0.7,25.1,23.9,25.5,24.7
E14001369,8.2,18.9,27.8,24.7,20.4
E14001370,4.6,29.7,32.6,18.4,14.8
E14001371,1.4,23.4,29.7,27.0,18.5
W07000101,0.4,43.3,28.6,13.6,14.0
W07000102,0.5,40.5,23.7,16.7,18.6
E14001372,0.7,45.3,27.7,19.2,7.2
W07000103,0.5,36.6,29.2,15.4,18.4
E14001373,0.6,43.6,30.5,13.6,11.7
E14001374,0.8,49.6,24.6,15.1,9.9
E14001375,1.0,40.4,30.3,16.3,12.0
E14001376,1.6,32.2,31.5,18.9,15.8
E14001377,0.8,22.9,22.0,23.0,31.3
E14001378,0.7,23.0,23.6,20.6,32.1
E14001379,0.5,30.8,30.0,22.1,16.6
E14001380,0.8,36.2,28.8,15.4,18.8
W07000104,0.9,29.2,30.4,18.8,20.7
W07000105,0.7,35.5,34.2,12.3,17.3
E14001381,1.4,42.3,28.3,18.3,9.7
E14001382,0.4,32.2,29.0,15.9,22.4
E14001383,0.8,32.1,30.7,14.4,22.1
E14001384,2.1,35.3,37.0,13.1,12.4
E14001385,1.1,43.1,22.5,19.8,13.5
E14001386,1.8,40.2,29.8,15.6,12.6
E14001387,1.1,41.8,25.5,20.4,11.1
E14001388,1.0,44.0,27.1,16.2,11.8
E14001389,0.4,34.8,29.1,15.9,19.8
E14001390,0.6,37.7,29.1,19.9,12.7
E14001391,0.7,41.5,29.1,10.3,18.4
E14001392,1.9,37.0,38.1,13.7,9.2
E14001393,1.2,35.1,31.5,13.1,19.0
E14001394,1.0,41.5,34.8,11.4,11.2
E14001395,1.3,46.1,23.1,18.2,11.2
E14001396,0.7,49.6,19.6,17.4,12.7
E14001397,0.6,42.3,23.0,17.4,16.7
E14001398,0.8,42.0,27.2,16.9,13.0
E14001399,0.7,44.1,33.5,14.2,7.6
E14001400,1.0,37.6,32.3,15.3,13.9
E14001401,1.4,28.8,34.0,21.0,14.8
E14001402,1.9,35.3,34.9,13.9,14.0
E14001403,2.5,30.2,35.0,14.6,17.8
E14001404,1.2,36.7,34.7,13.7,13.6
E14001405,0.6,40.8,24.5,18.7,15.4
E14001406,1.6,24.7,27.1,27.0,19.5
E14001407,1.7,29.8,36.7,19.4,12.5
E14001408,0.7,34.6,28.4,16.2,20.1
E14001409,0.8,24.4,18.7,28.2,27.9
E14001410,0.7,19.4,20.6,37.9,21.4
E14001411,0.7,26.8,27.5,18.1,26.9
E14001412,0.9,24.6,22.1,26.6,25.8
E14001413,1.0,33.5,33.4,17.2,14.8
E14001414,1.1,37.7,38.5,13.7,8.9
E14001415,0.7,33.0,29.1,17.7,19.5
E14001416,0.8,29.8,28.1,17.5,23.8
E14001417,0.8,38.1,35.1,11.3,14.7
E14001418,0.8,39.6,32.9,13.7,12.9
E14001419,1.8,23.6,20.8,30.9,23.0
E14001420,1.0,35.8,25.5,24.1,13.5
E14001421,3.4,7.7,16.1,25.3,47.5
E14001422,0.8,37.2,28.8,21.3,12.0
E14001423,0.4,42.2,33.3,10.7,13.3
E14001424,0.8,45.8,24.8,14.2,14.4
E14001425,1.4,26.7,25.7,25.5,20.7
E14001426,1.7,30.8,29.2,13.8,24.5
E14001427,0.9,21.7,23.5,35.0,19.0
E14001428,0.9,30.6,32.1,13.9,22.5
W07000106,0.3,36.5,32.5,16.6,14.1
E14001429,1.0,36.4,29.8,21.4,11.4
E14001430,2.6,8.0,16.2,42.4,30.9
E14001431,1.0,31.0,32.8,19.9,15.3
E14001432,1.2,20.6,21.4,36.4,20.4
E14001433,0.7,26.8,24.7,25.5,22.2
E14001434,2.1,19.3,25.0,34.7,18.9
E14001435,1.4,12.7,14.2,33.4,38.3
E14001436,0.9,32.3,30.3,14.5,22.1
E14001437,0.6,44.0,37.7,11.3,6.4
E14001438,1.3,22.1,26.1,37.3,13.3
E14001439,1.0,35.7,34.5,16.0,12.7
E14001440,0.6,35.3,28.0,15.6,20.5
E14001441,1.0,32.5,33.4,13.8,19.2
E14001442,1.3,35.0,36.9,15.8,11.1
W07000107,0.3,39.5,27.2,19.9,13.1
E14001443,1.0,43.9,35.8,13.5,5.8
E14001445,0.8,29.1,29.8,27.7,12.6
E14001444,0.7,43.2,24.4,18.8,13.0
E14001446,0.5,28.9,29.0,19.9,21.7
E14001447,2.1,29.7,34.8,18.4,14.9
E14001448,1.3,32.8,35.2,19.1,11.7
E14001449,1.3,38.9,29.0,17.7,13.1
E14001450,0.4,34.3,34.1,17.9,13.2
E14001451,0.4,39.9,32.7,13.5,13.5
E14001452,0.9,28.8,27.0,17.1,26.1
E14001453,1.5,33.3,33.8,18.4,13.0
E14001454,0.6,36.6,32.7,19.4,10.7
E14001455,1.2,34.5,29.3,13.3,21.7
E14001456,1.3,33.4,34.5,18.9,11.9
E14001457,1.1,41.0,34.5,14.8,8.5
E14001458,1.5,42.1,29.2,16.4,10.9
E14001459,0.9,15.9,19.2,36.4,27.5
E14001460,1.7,38.2,27.5,17.6,15.0
E14001461,1.0,40.0,22.6,22.3,14.2
E14001462,0.4,35.4,28.5,18.2,17.6
E14001463,0.5,49.1,33.0,10.3,7.1
E14001464,1.3,36.1,37.4,12.9,12.4
E14001465,1.6,37.8,34.1,13.2,13.2
E14001466,0.5,25.2,23.1,17.0,34.2
E14001467,0.6,18.6,18.6,45.0,17.2
E14001468,0.2,44.6,34.5,13.2,7.5
E14001469,0.4,27.1,25.8,15.2,31.4
E14001470,0.6,33.2,30.4,12.8,23.0
E14001471,0.7,37.8,33.4,14.8,13.3
E14001472,0.6,37.8,33.1,17.5,11.0
E14001473,1.0,38.9,28.0,17.7,14.4
E14001474,1.3,33.1,33.4,19.4,12.8
E14001475,0.7,44.8,26.2,18.5,9.7
E14001476,1.3,39.8,33.2,15.6,10.1
E14001477,1.2,20.0,29.0,31.5,18.3
E14001478,1.2,27.5,26.1,21.8,23.3
E14001479,1.0,41.5,36.5,13.3,7.7
E14001480,1.2,30.6,34.1,15.0,19.0
E14001481,1.9,37.9,28.9,14.6,16.6
E14001482,1.9,40.4,28.8,15.6,13.4
E14001483,1.0,36.6,37.7,14.3,10.4
E14001484,1.5,46.5,22.7,17.0,12.2
E14001485,0.9,42.2,23.9,19.7,13.2
E14001486,1.1,44.7,25.2,17.1,11.9
E14001487,1.2,40.8,29.4,16.6,11.9
E14001488,1.6,39.6,37.5,11.8,9.5
E14001489,1.4,39.8,34.2,13.5,11.1
E14001490,1.6,36.6,38.0,13.4,10.5
E14001491,0.9,41.0,35.3,11.8,10.9
E14001492,0.7,31.9,25.5,14.5,27.4
E14001493,0.8,47.6,21.9,18.1,11.6
E14001494,0.9,43.5,27.6,14.8,13.3
E14001495,1.4,42.8,33.8,14.4,7.5
E14001496,0.8,35.0,36.2,13.4,14.7
E14001497,0.6,39.7,26.2,19.4,14.1
E14001498,0.7,37.3,30.3,17.5,14.2
E14001499,1.5,23.5,27.3,25.4,22.4
E14001500,0.9,20.8,23.4,33.3,21.6
E14001501,1.1,28.6,26.5,27.4,16.5
E14001502,0.5,35.0,34.0,23.1,7.6
E14001503,1.5,24.3,23.3,32.5,18.4
E14001504,1.1,40.3,28.3,23.3,7.0
E14001505,1.3,33.4,34.6,17.9,12.7
E14001506,0.5,35.4,33.6,16.5,14.0
E14001507,0.7,32.6,35.4,17.9,13.4
E14001508,1.4,39.0,26.7,21.7,11.2
E14001509,0.8,35.0,30.4,13.3,20.5
E14001510,0.9,33.8,29.3,16.9,19.2
E14001511,1.1,43.9,21.3,19.8,13.8
E14001512,2.7,33.1,35.1,15.2,13.9
E14001513,0.9,37.3,30.2,16.7,14.8
E14001514,0.4,47.8,29.7,13.0,9.1
E14001515,0.4,29.9,32.2,16.4,21.0
E14001516,1.6,27.6,31.0,14.9,25.0
E14001517,1.5,27.0,31.6,19.8,20.0
E14001518,0.6,29.2,29.4,19.1,21.7
E14001519,0.5,40.9,39.5,12.6,6.5
E14001520,0.8,26.5,23.8,24.7,24.2
E14001521,0.6,33.7,27.9,18.2,19.6
E14001522,0.6,39.9,30.7,12.2,16.5
E14001523,1.0,42.9,31.6,11.6,12.8
E14001524,0.7,36.9,28.7,15.2,18.4
E14001525,3.7,10.5,17.3,37.6,30.9
E14001526,1.7,41.7,28.6,14.9,13.1
E14001527,1.6,19.6,29.5,31.6,17.8
E14001528,1.0,31.4,32.3,15.5,19.8
E14001529,1.3,40.9,30.9,13.7,13.1
E14001530,0.4,46.2,22.9,17.0,13.4
E14001531,0.5,32.0,25.6,19.8,22.0
E14001532,1.0,36.7,37.0,15.7,9.5
E14001533,1.4,43.3,32.7,13.2,9.4
E14001535,0.6,42.5,35.3,13.1,8.5
E14001534,1.0,30.3,34.9,24.6,9.2
W07000108,0.7,28.8,21.5,22.9,26.1
E14001536,1.5,29.3,37.5,15.8,15.8
E14001537,1.4,27.3,31.8,23.8,15.7
E14001538,0.8,35.7,33.3,13.8,16.3
E14001539,0.8,42.0,32.6,14.5,10.2
E14001540,1.3,35.9,28.2,18.6,16.0
E14001541,1.0,26.8,29.7,22.7,19.8
E14001542,2.0,40.0,31.7,14.8,11.5
E14001543,0.8,35.5,30.2,18.4,15.0
E14001544,1.0,43.5,23.2,19.8,12.5
E14001545,0.9,42.8,35.4,12.2,8.7
E14001546,0.9,20.9,38.2,20.7,19.3
E14001547,1.0,25.9,25.3,15.1,32.7
E14001548,0.9,43.6,23.2,18.6,13.8
E14001549,2.0,37.9,32.1,13.5,14.5
E14001550,1.2,18.3,28.2,36.0,16.3
E14001551,0.9,36.9,24.9,29.5,7.8
W07000109,0.7,34.7,29.7,11.2,23.8
E14001552,0.9,46.3,24.0,19.4,9.4
E14001553,2.9,12.3,14.9,36.9,33.0
E14001554,1.3,40.3,24.5,21.0,12.8
E14001555,1.1,33.4,31.6,19.6,14.4
E14001556,0.9,30.8,33.8,23.3,11.2
E14001557,0.4,36.4,30.4,16.3,16.5
E14001558,1.4,27.6,32.2,24.5,14.4
W07000110,0.3,36.9,33.6,16.0,13.2
E14001559,2.6,9.0,14.4,28.8,45.1
E14001560,0.8,29.6,30.0,16.4,23.2
E14001561,0.6,33.8,29.2,22.1,14.3
E14001562,0.6,25.7,22.4,20.7,30.6
E14001563,2.3,16.3,29.0,30.1,22.3
E14001564,0.8,34.3,30.7,14.4,19.8
E14001565,0.8,35.3,35.7,16.3,11.9
E14001566,1.7,29.6,30.7,21.2,16.8
E14001567,0.4,30.4,26.8,12.3,30.0
E14001568,1.1,24.5,31.4,27.5,15.5
E14001569,1.0,46.7,25.2,14.5,12.6
E14001570,1.8,42.6,31.5,12.9,11.3
E14001571,1.3,31.2,31.7,18.8,17.0
E14001572,1.1,45.9,29.5,14.5,9.0
E14001573,1.7,26.4,28.8,16.7,26.4
E14001574,0.9,30.2,27.2,18.3,23.3
E14001575,1.2,47.3,20.2,17.0,14.2
E14001576,3.0,9.3,17.5,36.0,34.2
E14001577,1.0,37.5,31.4,14.3,15.7
E14001578,1.3,31.4,27.8,23.6,15.9
E14001579,1.3,45.3,25.8,13.2,14.4
E14001580,0.8,47.1,23.1,18.1,11.0
E14001581,0.8,33.2,31.1,24.0,10.9
E14001582,1.0,44.1,31.6,13.3,9.9
E14001583,0.4,39.9,28.7,10.7,20.2
E14001584,0.8,32.7,32.2,13.6,20.8
E14001585,0.7,33.1,29.2,16.4,20.7
E14001586,0.7,29.3,31.7,29.5,8.9
E14001587,1.2,36.7,28.4,17.4,16.2
E14001588,0.8,29.8,30.6,23.2,15.6
