MCTY23CD,MCTY23NM,ObjectId
E11000001,Greater Manchester,1
E11000002,Merseyside,2
E11000003,South Yorkshire,3
E11000005,West Midlands,4
E11000006,West Yorkshire,5
E11000007,Tyne and Wear,6
