CTY23CD,CTY23NM,ObjectId
E10000003,Cambridgeshire,1
E10000007,Derbyshire,2
E10000008,Devon,3
E10000011,East Sussex,4
E10000012,Essex,5
E10000013,Gloucestershire,6
E10000014,Hampshire,7
E10000015,Hertfordshire,8
E10000016,Kent,9
E10000017,Lancashire,10
E10000018,Leicestershire,11
E10000019,Lincolnshire,12
E10000020,Norfolk,13
E10000024,Nottinghamshire,14
E10000025,Oxfordshire,15
E10000028,Staffordshire,16
E10000029,Suffolk,17
E10000030,Surrey,18
E10000031,Warwickshire,19
E10000032,West Sussex,20
E10000034,Worcestershire,21
