CAUTH24CD,CAUTH24NM,ObjectId
E47000001,Greater Manchester,1
E47000002,South Yorkshire,2
E47000003,West Yorkshire,3
E47000004,Liverpool City Region,4
E47000006,Tees Valley,5
E47000007,West Midlands,6
E47000008,Cambridgeshire and Peterborough,7
E47000009,West of England,8
E47000012,York and North Yorkshire,9
E47000013,East Midlands,10
E47000014,North East,11
