geography_code,date,value,Measure
E11000002,2001-02,2413.7210704398603,net_additional_dwellings
E08000011,2001-02,313.8000000000029,net_additional_dwellings
E08000012,2001-02,634.8999999999942,net_additional_dwellings
E08000014,2001-02,459.1999999999971,net_additional_dwellings
E08000013,2001-02,433.22107043986034,net_additional_dwellings
E08000015,2001-02,572.6000000000058,net_additional_dwellings
E11000003,2001-02,1397.800000000003,net_additional_dwellings
E08000016,2001-02,576.6000000000058,net_additional_dwellings
E08000017,2001-02,-335.3000000000029,net_additional_dwellings
E08000018,2001-02,1187.0,net_additional_dwellings
E08000019,2001-02,-30.5,net_additional_dwellings
E11000004,2001-02,839.8999999999796,net_additional_dwellings
E08000037,2001-02,229.89999999999418,net_additional_dwellings
E08000021,2001-02,207.89999999999418,net_additional_dwellings
E08000022,2001-02,33.19999999999709,net_additional_dwellings
E08000023,2001-02,-17.0,net_additional_dwellings
E08000024,2001-02,385.8999999999942,net_additional_dwellings
E11000005,2001-02,2618.1999999999825,net_additional_dwellings
E08000025,2001-02,1434.2999999999884,net_additional_dwellings
E08000026,2001-02,566.0,net_additional_dwellings
E08000027,2001-02,-317.0,net_additional_dwellings
E08000028,2001-02,-80.39999999999418,net_additional_dwellings
E08000029,2001-02,585.5,net_additional_dwellings
E08000030,2001-02,85.89999999999418,net_additional_dwellings
E08000031,2001-02,343.8999999999942,net_additional_dwellings
E11000006,2001-02,5880.457510781052,net_additional_dwellings
E08000032,2001-02,1752.1000000000058,net_additional_dwellings
E08000033,2001-02,357.8000000000029,net_additional_dwellings
E08000034,2001-02,1348.7575107810262,net_additional_dwellings
E08000035,2001-02,1270.4000000000233,net_additional_dwellings
E08000036,2001-02,1151.3999999999942,net_additional_dwellings
E10000001,2001-02,2071.5000000000073,net_additional_dwellings
E07000002,2001-02,772.3000000000029,net_additional_dwellings
E07000001,2001-02,623.5038673120798,net_additional_dwellings
E07000003,2001-02,675.6961326879245,net_additional_dwellings
E10000002,2001-02,1595.0000000000036,net_additional_dwellings
E07000004,2001-02,670.0,net_additional_dwellings
E07000005,2001-02,153.1999999999971,net_additional_dwellings
E07000006,2001-02,219.70000000000073,net_additional_dwellings
