PCON24CD,First party,Electorate,Valid votes,Invalid votes,PCON24NM,Other tenure,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,value
E14001107,Lab,76595,40401,126,Blyth and Ashington,0.6,31.6,27.4,17.8,22.6,0.505
E14001109,Lab,77207,42434,111,Bolsover,0.5,35.6,30.4,15.9,17.5,0.483
E14001110,Lab,80011,43359,148,Bolton North East,0.5,33.2,26.7,18.0,21.5,0.5
E14001111,Lab,79622,36930,138,Bolton South and Walkden,1.0,25.6,24.9,20.4,28.1,0.514
E14001112,Lab,74933,44598,180,Bolton West,0.6,38.1,33.5,15.0,12.9,0.509
E14001113,Lab,73037,38880,139,Bootle,0.7,26.3,26.3,19.6,27.1,0.504
E14001115,Lab,72354,44910,143,Bournemouth East,0.7,28.3,28.8,33.2,9.1,0.512
E14001116,Lab,70259,39418,137,Bournemouth West,0.7,28.8,26.1,31.6,12.8,0.482
E14001117,Lab,71660,43837,155,Bracknell,1.8,27.0,37.3,16.1,17.9,0.518
E14001118,Lab,75164,37216,148,Bradford East,0.7,27.4,28.3,24.7,18.8,0.517
E14001119,Lab,70999,33042,91,Bradford South,0.4,27.8,31.8,22.6,17.3,0.486
E14001120,Lab,77897,37081,219,Bradford West,0.6,27.0,25.3,31.0,16.2,0.504
E14001122,Lab,77547,37802,243,Brent East,2.3,17.7,16.3,35.6,28.0,0.497
E14001123,Lab,80027,41376,199,Brent West,2.1,24.9,20.6,37.4,15.0,0.511
E14001124,Lab,79423,45254,219,Brentford and Isleworth,2.6,21.7,24.9,32.1,18.7,0.487
W07000086,Lab,73168,41374,108,Bridgend,0.3,38.2,34.6,14.3,12.7,0.49
E14001129,Lab,68784,40686,557,Brighton Kemptown and Peacehaven,1.2,28.8,23.2,25.2,21.5,0.519
E14001132,Lab,75917,46109,845,Bristol East,1.0,24.5,31.6,23.7,19.2,0.485
E14001133,Lab,70076,41989,160,Bristol North East,1.2,28.6,31.8,20.4,18.0,0.49
E14001134,Lab,74869,48464,264,Bristol North West,0.8,31.1,30.4,18.2,19.5,0.506
E14001135,Lab,75533,43403,179,Bristol South,1.5,25.1,30.7,19.8,23.1,0.488
E14001140,Lab,70440,47838,165,Broxtowe,0.5,39.5,30.7,17.9,11.4,0.517
E14001141,Lab,74832,47641,206,Buckingham and Bletchley,3.5,30.8,33.6,16.4,15.7,0.482
E14001142,Lab,74954,39719,130,Burnley,0.3,33.8,27.3,23.8,14.7,0.506
E14001143,Lab,77994,45627,161,Burton and Uttoxeter,0.8,34.9,30.3,20.3,13.8,0.488
E14001144,Lab,77686,45520,174,Bury North,0.5,35.8,31.7,17.0,15.0,0.486
E14001145,Lab,75326,42214,170,Bury South,0.5,31.6,32.2,20.1,15.7,0.482
E14001146,Lab,78479,50893,193,Bury St Edmunds and Stowmarket,1.2,37.8,27.8,18.2,15.0,0.518
W07000088,Lab,72648,38234,156,Caerphilly,0.3,35.7,33.2,12.9,17.9,0.511
E14001147,Lab,77364,49608,188,Calder Valley,0.6,37.5,31.5,18.2,12.2,0.515
E14001148,Lab,74342,47785,196,Camborne and Redruth,1.6,39.6,26.0,19.0,13.7,0.503
E14001149,Lab,70321,42100,372,Cambridge,2.0,23.6,18.7,33.0,22.8,0.489
E14001150,Lab,76974,42953,119,Cannock Chase,0.9,33.9,33.2,15.8,16.2,0.488
E14001151,Lab,71155,47231,173,Canterbury,0.9,36.3,24.4,24.2,14.1,0.5
W07000089,Lab,72876,39123,172,Cardiff East,0.6,27.0,27.8,24.9,19.7,0.489
W07000090,Lab,71460,47473,232,Cardiff North,0.6,38.2,35.6,15.3,10.3,0.509
W07000091,Lab,73060,39176,221,Cardiff South and Penarth,0.5,25.6,25.9,33.2,14.7,0.5
W07000092,Lab,75697,44757,195,Cardiff West,0.5,31.0,31.4,17.9,19.1,0.484
E14001152,Lab,77863,45979,152,Carlisle,0.9,37.5,28.8,17.9,14.9,0.483
E14001157,Lab,75109,40845,124,Chatham and Aylesford,1.6,29.7,35.7,17.8,15.2,0.509
E14001160,Lab,78468,47116,184,Chelsea and Fulham,1.2,18.6,17.1,38.1,25.0,0.511
E14001163,Lab,70215,44694,216,Chester North and Neston,1.0,35.8,27.2,19.8,16.2,0.515
E14001165,Lab,71645,41555,135,Chesterfield,0.5,35.9,26.6,16.4,20.6,0.487
E14001169,Lab,78038,50859,209,Chipping Barnet,1.1,32.0,32.3,23.3,11.2,0.484
E14001172,Lab,73369,39215,202,Cities of London and Westminster,0.9,18.6,11.0,47.0,22.5,0.487
E14001173,Lab,70583,40627,165,City of Durham,0.4,35.3,27.2,18.3,18.7,0.51
E14001175,Lab,83114,42741,209,Clapham and Brixton Hill,1.7,11.1,20.7,32.8,33.7,0.491
W07000094,Lab,76637,47822,163,Clwyd East,0.6,43.8,28.7,14.8,12.1,0.51
W07000095,Lab,75027,41627,111,Clwyd North,0.8,38.5,25.8,20.9,14.0,0.484
E14001176,Lab,78662,44903,156,Colchester,0.6,26.8,30.4,26.7,15.5,0.494
E14001177,Lab,72638,46221,139,Colne Valley,0.6,39.0,34.2,17.4,8.8,0.514
E14001178,Lab,72914,50125,153,Congleton,1.5,42.5,33.9,11.5,10.7,0.496
E14001179,Lab,78770,49589,165,Corby and East Northamptonshire,1.1,30.6,33.9,18.0,16.5,0.495
E14001180,Lab,75773,37014,144,Coventry East,1.0,27.1,25.8,23.6,22.6,0.506
E14001181,Lab,75036,42030,180,Coventry North West,0.9,32.9,30.3,23.8,12.2,0.482
E14001182,Lab,76232,42731,159,Coventry South,0.7,30.3,26.2,27.1,15.8,0.501
E14001183,Lab,76228,45394,128,Cramlington and Killingworth,0.9,33.3,34.0,11.8,19.9,0.512
E14001184,Lab,75569,45642,190,Crawley,1.5,24.0,31.7,19.8,22.9,0.49
E14001185,Lab,77095,47197,140,Crewe and Nantwich,1.1,34.8,30.4,20.1,13.6,0.502
E14001186,Lab,76595,43779,174,Croydon East,1.2,27.4,30.6,19.5,21.3,0.498
E14001188,Lab,77891,38122,172,Croydon West,2.1,15.3,24.3,36.3,21.9,0.494
E14001189,Lab,76475,38867,118,Dagenham and Rainham,1.3,24.7,31.8,19.4,22.8,0.518
E14001190,Lab,70672,42378,121,Darlington,0.5,32.2,28.8,21.4,17.2,0.515
E14001191,Lab,75426,44488,272,Dartford,2.6,26.0,38.7,18.8,14.0,0.496
E14001193,Lab,71879,40919,187,Derby North,1.0,31.0,27.3,21.8,19.0,0.481
E14001194,Lab,72944,37399,145,Derby South,0.9,26.8,25.4,24.1,22.9,0.503
E14001195,Lab,73324,51272,173,Derbyshire Dales,1.0,46.2,26.7,14.6,11.6,0.512
E14001198,Lab,74678,37944,113,Doncaster Central,0.6,31.3,27.5,24.0,16.6,0.512
E14001199,Lab,70154,39132,134,Doncaster East and the Isle of Axholme,0.6,39.7,32.5,14.6,12.6,0.511
E14001200,Lab,69759,31002,475,Doncaster North,0.8,34.0,29.0,17.8,18.4,0.498
E14001202,Lab,76406,47775,185,Dover and Deal,0.8,38.2,27.2,19.5,14.2,0.511
E14001204,Lab,70151,35796,110,Dudley,1.0,32.8,26.7,14.2,25.3,0.499
E14001205,Lab,79894,45378,227,Dulwich and West Norwood,1.7,15.3,24.4,24.6,33.9,0.488
E14001206,Lab,76742,46045,171,Dunstable and Leighton Buzzard,1.7,30.9,37.5,15.3,14.6,0.508
E14001207,Lab,78436,47769,254,Ealing Central and Acton,2.5,18.9,20.0,38.6,19.9,0.516
E14001208,Lab,74820,43232,198,Ealing North,2.0,23.6,26.3,28.3,19.8,0.507
E14001209,Lab,78669,46816,214,Ealing Southall,2.2,24.8,23.6,33.0,16.5,0.496
E14001210,Lab,73548,45914,572,Earley and Woodley,2.1,31.3,38.2,16.0,12.4,0.499
E14001211,Lab,69395,34324,72,Easington,0.4,32.7,26.9,17.1,23.0,0.483
E14001213,Lab,79219,37892,173,East Ham,1.3,17.7,20.5,38.9,21.6,0.506
E14001216,Lab,74927,42713,167,East Thanet,0.5,34.0,24.0,28.3,13.2,0.489
E14001218,Lab,74738,49078,181,East Worthing and Shoreham,0.7,38.9,33.3,16.7,10.5,0.502
E14001221,Lab,75792,41045,204,Edmonton and Winchmore Hill,1.1,25.8,24.1,29.8,19.2,0.496
E14001222,Lab,70799,41964,153,Ellesmere Port and Bromborough,1.0,33.2,33.1,14.9,17.8,0.513
E14001223,Lab,73979,45566,192,Eltham and Chislehurst,1.5,26.2,31.6,16.4,24.3,0.501
E14001225,Lab,78770,43492,159,Enfield North,1.6,23.9,27.1,27.7,19.8,0.484
E14001228,Lab,71501,43006,175,Erewash,0.6,35.6,32.3,18.0,13.5,0.493
E14001229,Lab,78740,40379,157,Erith and Thamesmead,2.0,16.8,24.5,25.4,31.4,0.514
E14001231,Lab,67840,40195,180,Exeter,0.9,29.5,24.3,28.0,17.3,0.511
E14001236,Lab,76982,38887,165,Feltham and Heston,2.7,20.3,25.0,27.4,24.5,0.513
E14001237,Lab,77582,50367,152,Filton and Bradley Stoke,1.4,30.6,36.9,20.3,10.7,0.518
E14001238,Lab,77500,49289,202,Finchley and Golders Green,0.8,26.9,23.3,38.3,10.8,0.487
E14001239,Lab,70056,43246,146,Folkestone and Hythe,0.8,38.3,25.1,24.2,11.5,0.518
E14001240,Lab,72857,48091,233,Forest of Dean,0.9,44.5,28.5,13.4,12.7,0.519
E14001244,Lab,69827,40217,140,Gateshead Central and Whickham,0.6,29.1,26.4,19.7,24.2,0.5
E14001245,Lab,77006,48722,176,Gedling,0.6,39.0,33.9,16.5,10.1,0.519
E14001246,Lab,73523,41140,138,Gillingham and Rainham,1.1,33.7,32.6,21.8,10.7,0.505
E14001248,Lab,79475,45692,144,Gloucester,1.3,29.8,31.5,22.4,15.0,0.492
E14001251,Lab,76524,36560,175,Gorton and Denton,1.0,23.9,25.4,24.5,25.1,0.488
W07000097,Lab,76123,47229,160,Gower,0.5,44.1,31.7,12.4,11.3,0.518
E14001254,Lab,73094,43232,134,Gravesham,1.3,31.2,31.0,19.1,17.4,0.511
E14001255,Lab,76157,36619,97,Great Grimsby and Cleethorpes,0.6,30.9,26.0,27.2,15.4,0.483
E14001257,Lab,73073,42719,221,Greenwich and Woolwich,3.3,11.3,22.7,30.6,32.2,0.485
E14001259,Lab,77812,40959,254,Hackney North and Stoke Newington,1.8,12.0,16.9,32.2,37.1,0.517
E14001260,Lab,78277,41701,213,Hackney South and Shoreditch,3.3,7.7,13.2,31.2,44.6,0.485
E14001261,Lab,68549,38578,142,Halesowen,0.7,36.4,30.7,14.2,18.0,0.505
E14001262,Lab,77516,40214,149,Halifax,0.4,31.7,28.6,22.5,16.9,0.498
E14001264,Lab,75860,46021,260,Hammersmith and Chiswick,1.5,17.7,18.3,36.0,26.5,0.5
E14001265,Lab,80029,48550,238,Hampstead and Highgate,0.9,19.9,17.5,38.6,23.0,0.509
E14001267,Lab,74683,43357,117,Harlow,1.4,25.9,31.5,15.2,26.1,0.508
E14001271,Lab,79902,45241,150,Harrow West,1.6,24.4,27.5,34.8,11.7,0.504
E14001272,Lab,71437,35511,88,Hartlepool,0.8,31.2,27.0,17.5,23.5,0.5
E14001274,Lab,75939,45990,183,Hastings and Rye,0.6,33.9,24.6,26.7,14.2,0.49
E14001276,Lab,74405,38315,118,Hayes and Harlington,1.8,20.1,26.7,31.3,20.0,0.498
E14001278,Lab,71035,44108,168,Hemel Hempstead,0.8,26.8,32.0,15.1,25.3,0.519
E14001279,Lab,74865,41256,190,Hendon,1.8,20.7,23.9,35.4,18.1,0.482
E14001283,Lab,78915,54009,203,Hertford and Stortford,1.6,32.6,35.3,17.6,12.9,0.485
E14001285,Lab,76431,51828,433,Hexham,0.6,42.5,27.3,15.5,14.1,0.496
E14001286,Lab,73328,37130,146,Heywood and Middleton North,0.7,30.5,30.1,17.5,21.2,0.489
E14001287,Lab,74385,49206,178,High Peak,0.8,40.1,30.8,16.1,12.2,0.515
E14001289,Lab,75877,52510,179,Hitchin,1.7,32.5,36.0,15.1,14.7,0.513
E14001290,Lab,71300,38602,223,Holborn and St Pancras,1.2,12.6,10.7,32.2,43.3,0.504
E14001293,Lab,69885,48642,287,Hornsey and Friern Barnet,1.4,22.3,26.8,33.9,15.6,0.506
E14001295,Lab,78448,40032,101,Houghton and Sunderland South,0.4,31.6,28.3,11.6,28.1,0.509
E14001296,Lab,74063,51909,247,Hove and Portslade,0.8,25.8,29.2,33.1,11.0,0.517
E14001297,Lab,77795,40165,147,Huddersfield,0.7,30.9,25.4,24.1,18.9,0.501
E14001299,Lab,67147,36374,149,Hyndburn,0.3,34.3,29.0,22.8,13.7,0.513
E14001300,Lab,78657,46888,121,Ilford North,1.3,28.1,32.2,27.2,11.2,0.5
E14001301,Lab,80993,41170,167,Ilford South,1.4,21.9,25.9,36.9,13.9,0.496
E14001302,Lab,75396,44071,167,Ipswich,0.8,27.0,26.4,25.1,20.7,0.503
E14001304,Lab,55406,34290,78,Isle of Wight West,1.0,42.6,25.3,19.6,11.6,0.498
E14001306,Lab,74122,42754,235,Islington South and Finsbury,2.3,11.1,13.5,31.2,42.0,0.515
E14001307,Lab,70272,36728,85,Jarrow and Gateshead East,0.4,27.2,26.9,12.1,33.5,0.517
E14001310,Lab,77306,41908,213,Kensington and Bayswater,1.2,18.7,11.5,42.5,26.0,0.51
E14001311,Lab,79360,50231,152,Kettering,1.6,32.1,33.3,19.6,13.4,0.513
E14001313,Lab,70650,29816,88,Kingston upon Hull East,0.9,24.6,26.3,17.8,30.3,0.485
E14001314,Lab,75280,38228,137,Kingston upon Hull North and Cottingham,0.6,26.3,26.1,25.0,22.0,0.49
E14001315,Lab,73252,38178,116,Kingston upon Hull West and Haltemprice,0.9,29.3,27.7,22.7,19.4,0.494
E14001317,Lab,71964,36047,88,Knowsley,1.0,26.7,29.3,15.5,27.5,0.509
E14001318,Lab,74760,43008,199,Lancaster and Wyre,1.3,38.8,28.2,20.2,11.5,0.517
E14001319,Lab,70554,31595,135,Leeds Central and Headingley,0.7,15.2,16.7,44.8,22.6,0.502
E14001320,Lab,76207,39388,129,Leeds East,0.9,28.0,28.5,16.6,26.0,0.513
E14001321,Lab,70178,45167,221,Leeds North East,0.6,31.9,32.3,18.8,16.4,0.518
E14001322,Lab,71592,49777,176,Leeds North West,0.8,39.1,35.6,12.6,11.9,0.497
E14001323,Lab,75953,31678,473,Leeds South,1.0,16.8,19.7,30.3,32.2,0.499
E14001324,Lab,71854,40209,114,Leeds South West and Morley,0.7,31.3,36.1,17.0,15.0,0.492
E14001325,Lab,70069,38494,121,Leeds West and Pudsey,0.8,25.8,31.0,20.5,21.9,0.483
E14001328,Lab,74102,35397,161,Leicester West,0.9,21.6,21.9,29.1,26.6,0.482
E14001329,Lab,79978,41170,147,Leigh and Atherton,0.9,31.9,31.4,18.3,17.5,0.497
E14001331,Lab,73380,40637,192,Lewisham East,1.2,18.0,28.6,24.4,27.7,0.49
E14001332,Lab,74205,44167,262,Lewisham North,2.5,11.1,21.4,31.7,33.2,0.493
E14001333,Lab,69386,46414,213,Lewisham West and East Dulwich,1.0,18.3,32.1,25.0,23.6,0.49
E14001334,Lab,71491,43732,208,Leyton and Wanstead,1.2,21.8,26.3,31.9,18.7,0.488
E14001335,Lab,76118,49104,159,Lichfield,1.0,41.9,31.7,12.7,12.7,0.491
E14001336,Lab,72315,42160,165,Lincoln,1.2,27.4,25.5,26.4,19.5,0.509
E14001337,Lab,69282,41993,155,Liverpool Garston,1.0,32.7,29.7,13.8,22.7,0.499
E14001338,Lab,71380,32381,156,Liverpool Riverside,1.0,12.7,11.2,38.1,37.0,0.491
E14001339,Lab,69317,36886,132,Liverpool Walton,0.7,26.6,25.9,19.7,27.1,0.514
E14001340,Lab,70581,39815,231,Liverpool Wavertree,0.7,25.1,23.1,31.2,19.8,0.503
E14001341,Lab,69934,38006,162,Liverpool West Derby,0.5,29.1,28.0,20.9,21.4,0.491
W07000098,Lab,71538,40744,124,Llanelli,0.4,40.5,28.6,14.7,15.7,0.512
E14001342,Lab,68961,42259,177,Loughborough,1.1,35.0,28.9,20.9,14.2,0.481
E14001344,Lab,74332,41824,101,Lowestoft,0.5,40.7,24.6,19.9,14.3,0.481
E14001345,Lab,74866,38745,162,Luton North,0.7,31.2,32.8,19.6,15.7,0.518
E14001346,Lab,77312,38382,176,Luton South and South Bedfordshire,0.7,23.5,24.8,34.7,16.2,0.516
E14001347,Lab,74876,52792,143,Macclesfield,0.8,40.4,32.1,15.0,11.7,0.512
E14001350,Lab,76641,40263,135,Makerfield,0.4,38.1,34.4,13.5,13.6,0.508
E14001352,Lab,85204,39725,181,Manchester Central,0.8,14.7,18.9,40.8,24.9,0.49
E14001353,Lab,72608,29033,193,Manchester Rusholme,0.8,11.0,14.5,39.4,34.3,0.498
E14001354,Lab,70555,41731,240,Manchester Withington,0.6,22.6,27.7,34.0,15.0,0.495
E14001355,Lab,74535,41087,114,Mansfield,0.7,35.3,28.7,19.1,16.2,0.511
W07000099,Lab,74460,35215,115,Merthyr Tydfil and Aberdare,0.3,36.6,27.6,16.1,19.4,0.516
W07000100,Lab,79033,46629,147,Mid and South Pembrokeshire,0.3,42.4,23.0,16.6,17.6,0.506
E14001361,Lab,70384,41509,115,Mid Cheshire,1.8,33.2,34.2,15.3,15.5,0.513
E14001362,Lab,69917,47543,153,Mid Derbyshire,0.7,45.6,33.0,12.9,7.8,0.505
E14001367,Lab,75123,34407,92,Middlesbrough and Thornaby East,0.7,25.1,23.9,25.5,24.7,0.501
E14001368,Lab,70331,38035,529,Middlesbrough South and East Cleveland,0.7,36.5,29.4,14.3,19.0,0.5
E14001369,Lab,81078,47729,201,Milton Keynes Central,8.2,18.9,27.8,24.7,20.4,0.514
E14001370,Lab,70709,45977,184,Milton Keynes North,4.6,29.7,32.6,18.4,14.8,0.5
E14001371,Lab,77282,45255,182,Mitcham and Morden,1.4,23.4,29.7,27.0,18.5,0.508
W07000101,Lab,74823,50844,154,Monmouthshire,0.4,43.3,28.6,13.6,14.0,0.519
W07000102,Lab,74039,43259,193,Montgomeryshire and Glyndwr,0.5,40.5,23.7,16.7,18.6,0.502
E14001372,Lab,76424,48059,171,Morecambe and Lunesdale,0.7,45.3,27.7,19.2,7.2,0.496
W07000103,Lab,76291,40137,132,Neath and Swansea East,0.5,36.6,29.2,15.4,18.4,0.491
E14001377,Lab,76822,41355,167,Newcastle upon Tyne Central and West,0.8,22.9,22.0,23.0,31.3,0.517
E14001378,Lab,76245,42321,123,Newcastle upon Tyne East and Wallsend,0.7,23.0,23.6,20.6,32.1,0.492
E14001379,Lab,74768,48617,197,Newcastle upon Tyne North,0.5,30.8,30.0,22.1,16.6,0.509
E14001380,Lab,67815,39618,158,Newcastle-under-Lyme,0.8,36.2,28.8,15.4,18.8,0.498
W07000104,Lab,76683,38531,154,Newport East,0.9,29.2,30.4,18.8,20.7,0.5
W07000105,Lab,75785,41951,163,Newport West and Islwyn,0.7,35.5,34.2,12.3,17.3,0.496
E14001382,Lab,72215,39846,79,Newton Aycliffe and Spennymoor,0.4,32.2,29.0,15.9,22.4,0.5
E14001383,Lab,75645,36349,137,Normanton and Hemsworth,0.8,32.1,30.7,14.4,22.1,0.506
E14001389,Lab,73226,41565,162,North Durham,0.4,34.8,29.1,15.9,19.8,0.507
E14001391,Lab,73234,45866,120,North East Derbyshire,0.7,41.5,29.1,10.3,18.4,0.483
E14001393,Lab,77697,52520,173,North East Hertfordshire,1.2,35.1,31.5,13.1,19.0,0.491
E14001394,Lab,73889,51125,142,North East Somerset and Hanham,1.0,41.5,34.8,11.4,11.2,0.517
E14001397,Lab,74190,48843,149,North Northumberland,0.6,42.3,23.0,17.4,16.7,0.488
E14001399,Lab,74426,53766,177,North Somerset,0.7,44.1,33.5,14.2,7.6,0.499
E14001400,Lab,69752,40940,141,North Warwickshire and Bedworth,1.0,37.6,32.3,15.3,13.9,0.509
E14001401,Lab,75915,44424,184,North West Cambridgeshire,1.4,28.8,34.0,21.0,14.8,0.515
E14001404,Lab,77750,48572,137,North West Leicestershire,1.2,36.7,34.7,13.7,13.6,0.488
E14001406,Lab,75575,41813,138,Northampton North,1.6,24.7,27.1,27.0,19.5,0.499
E14001407,Lab,70393,43904,159,Northampton South,1.7,29.8,36.7,19.4,12.5,0.504
E14001408,Lab,73717,45765,185,Norwich North,0.7,34.6,28.4,16.2,20.1,0.514
E14001409,Lab,76296,45095,179,Norwich South,0.8,24.4,18.7,28.2,27.9,0.489
E14001410,Lab,69395,36401,226,Nottingham East,0.7,19.4,20.6,37.9,21.4,0.513
E14001411,Lab,73768,35007,200,Nottingham North and Kimberley,0.7,26.8,27.5,18.1,26.9,0.485
E14001412,Lab,64255,32879,164,Nottingham South,0.9,24.6,22.1,26.6,25.8,0.512
E14001413,Lab,71843,41213,105,Nuneaton,1.0,33.5,33.4,17.2,14.8,0.488
E14001415,Lab,73460,40065,157,Oldham East and Saddleworth,0.7,33.0,29.1,17.7,19.5,0.515
E14001416,Lab,76031,38573,199,"Oldham West, Chadderton and Royton",0.8,29.8,28.1,17.5,23.8,0.485
E14001418,Lab,72312,43873,120,Ossett and Denby Dale,0.8,39.6,32.9,13.7,12.9,0.485
E14001419,Lab,71845,39341,390,Oxford East,1.8,23.6,20.8,30.9,23.0,0.514
E14001421,Lab,72127,38797,226,Peckham,3.4,7.7,16.1,25.3,47.5,0.519
E14001422,Lab,78796,46754,158,Pendle and Clitheroe,0.8,37.2,28.8,21.3,12.0,0.511
E14001423,Lab,70435,43965,167,Penistone and Stocksbridge,0.4,42.2,33.3,10.7,13.3,0.495
E14001424,Lab,77935,49281,148,Penrith and Solway,0.8,45.8,24.8,14.2,14.4,0.496
E14001425,Lab,73378,41872,143,Peterborough,1.4,26.7,25.7,25.5,20.7,0.509
E14001426,Lab,74724,42856,118,Plymouth Moor View,1.7,30.8,29.2,13.8,24.5,0.497
E14001427,Lab,75313,42095,193,Plymouth Sutton and Devonport,0.9,21.7,23.5,35.0,19.0,0.516
E14001428,Lab,74618,35957,123,"Pontefract, Castleford and Knottingley",0.9,30.6,32.1,13.9,22.5,0.482
W07000106,Lab,75951,39378,116,Pontypridd,0.3,36.5,32.5,16.6,14.1,0.519
E14001429,Lab,72509,44495,148,Poole,1.0,36.4,29.8,21.4,11.4,0.488
E14001430,Lab,84116,43051,316,Poplar and Limehouse,2.6,8.0,16.2,42.4,30.9,0.514
E14001431,Lab,70446,41593,148,Portsmouth North,1.0,31.0,32.8,19.9,15.3,0.486
E14001432,Lab,73711,38928,180,Portsmouth South,1.2,20.6,21.4,36.4,20.4,0.481
E14001433,Lab,77400,39993,139,Preston,0.7,26.8,24.7,25.5,22.2,0.494
E14001434,Lab,72686,49295,218,Putney,2.1,19.3,25.0,34.7,18.9,0.495
E14001435,Lab,75558,38343,275,Queen's Park and Maida Vale,1.4,12.7,14.2,33.4,38.3,0.513
E14001436,Lab,69133,33904,109,Rawmarsh and Conisbrough,0.9,32.3,30.3,14.5,22.1,0.501
E14001438,Lab,73600,45291,216,Reading Central,1.3,22.1,26.1,37.3,13.3,0.513
E14001439,Lab,68781,46551,151,Reading West and Mid Berkshire,1.0,35.7,34.5,16.0,12.7,0.483
E14001440,Lab,70241,38209,103,Redcar,0.6,35.3,28.0,15.6,20.5,0.517
E14001441,Lab,71042,42375,126,Redditch,1.0,32.5,33.4,13.8,19.2,0.512
W07000107,Lab,74493,35806,136,Rhondda and Ogmore,0.3,39.5,27.2,19.9,13.1,0.483
E14001443,Lab,80484,52023,181,Ribble Valley,1.0,43.9,35.8,13.5,5.8,0.487
E14001446,Lab,72507,39688,95,Rochdale,0.5,28.9,29.0,19.9,21.7,0.497
E14001447,Lab,74257,42598,135,Rochester and Strood,2.1,29.7,34.8,18.4,14.9,0.486
E14001450,Lab,74440,44618,138,Rossendale and Darwen,0.4,34.3,34.1,17.9,13.2,0.483
