PCON24CD,First party,Electorate,Valid votes,Invalid votes,PCON24NM,Other tenure,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,value
W07000081,Lab,72580,35755,79,Aberafan Maesteg,0.3,37.0,27.3,15.5,19.9,0.49
E14001063,Lab,78553,48544,179,Aldershot,1.8,27.7,35.5,20.0,15.1,0.518
E14001065,Lab,74025,51452,184,Altrincham and Sale West,0.6,37.7,36.4,13.8,11.4,0.485
W07000082,Lab,75790,43392,135,Alyn and Deeside,0.5,36.2,34.5,13.8,15.0,0.518
E14001066,Lab,71546,42531,105,Amber Valley,0.6,39.2,30.7,14.8,14.7,0.508
E14001069,Lab,76233,46975,164,Ashford,1.8,30.2,34.5,19.3,14.1,0.492
E14001070,Lab,71002,35461,136,Ashton-under-Lyne,0.4,29.1,28.4,19.6,22.5,0.508
E14001071,Lab,79169,49940,213,Aylesbury,1.8,30.2,36.1,16.5,15.4,0.483
E14001072,Lab,73250,48178,187,Banbury,1.7,33.8,30.0,19.4,15.1,0.508
W07000083,Lab,70527,41660,154,Bangor Aberconwy,0.5,41.5,24.1,19.6,14.3,0.483
E14001073,Lab,79822,36477,120,Barking,2.4,13.1,26.2,25.6,32.8,0.518
E14001074,Lab,78274,36894,114,Barnsley North,0.7,32.4,30.0,17.3,19.6,0.507
E14001075,Lab,75853,35082,78,Barnsley South,0.9,30.3,27.4,19.1,22.3,0.494
E14001076,Lab,74980,42221,141,Barrow and Furness,0.3,41.4,31.3,16.2,10.8,0.51
E14001078,Lab,78487,48989,189,Basingstoke,1.8,27.5,33.3,16.8,20.7,0.5
E14001079,Lab,78161,44878,150,Bassetlaw,0.6,36.6,30.5,16.6,15.8,0.481
E14001081,Lab,72827,47082,237,Battersea,2.4,15.9,21.2,38.0,22.5,0.491
E14001083,Lab,77198,52222,218,Beckenham and Penge,1.1,28.0,33.7,22.8,14.5,0.517
E14001084,Lab,72478,40659,210,Bedford,1.3,28.4,26.0,24.6,19.8,0.516
E14001085,Lab,69482,37603,180,Bermondsey and Old Southwark,3.0,9.2,14.5,36.1,37.2,0.492
E14001086,Lab,81439,46647,320,Bethnal Green and Stepney,2.8,7.5,12.6,36.3,40.8,0.497
E14001089,Lab,70297,43461,118,Bexleyheath and Crayford,1.2,33.9,37.2,13.4,14.3,0.5
E14001091,Lab,78091,43134,142,Birkenhead,0.9,28.1,25.4,23.0,22.5,0.493
E14001092,Lab,71787,37428,179,Birmingham Edgbaston,1.5,26.1,23.6,24.7,24.1,0.491
E14001093,Lab,77463,34137,152,Birmingham Erdington,1.3,25.1,26.5,21.8,25.2,0.501
E14001094,Lab,76936,41606,256,Birmingham Hall Green and Moseley,0.6,31.6,26.8,24.4,16.4,0.482
E14001095,Lab,77737,34136,127,Birmingham Hodge Hill and Solihull North,1.5,26.6,27.5,15.8,28.5,0.515
E14001096,Lab,83693,36579,203,Birmingham Ladywood,1.2,14.0,12.9,36.4,35.6,0.485
E14001097,Lab,74048,37652,138,Birmingham Northfield,2.1,27.3,27.2,14.8,28.7,0.487
E14001099,Lab,75678,38423,144,Birmingham Selly Oak,1.6,27.8,26.8,22.7,21.0,0.492
E14001100,Lab,73203,36144,128,Birmingham Yardley,0.8,29.3,29.0,22.2,18.6,0.519
E14001101,Lab,70745,40427,133,Bishop Auckland,0.3,38.1,25.3,18.6,17.8,0.513
E14001103,Lab,72303,31340,149,Blackley and Middleton South,1.0,23.6,23.9,22.6,28.8,0.494
E14001104,Lab,73339,41810,128,Blackpool North and Fleetwood,0.5,40.6,28.7,21.0,9.2,0.514
E14001105,Lab,77460,35180,129,Blackpool South,0.4,28.8,25.1,34.9,10.8,0.503
W07000084,Lab,70153,29922,516,Blaenau Gwent and Rhymney,0.2,34.7,25.3,16.0,23.8,0.51
E14001106,Lab,70487,42216,120,Blaydon and Consett,0.4,34.9,32.0,15.2,17.5,0.496
